index,syst,chain,tm1,tm2,min,max,pdb
 327,4k76_G_C-G_2,C,0.111,0.265,0.111,0.265,4k76
 328,5fgb_G_B-E-G_1,E,0.220,0.278,0.220,0.278,5fgb
 329,5fgb_G_B-E-G_1,B,0.201,0.256,0.201,0.256,5fgb
 330,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.336,0.304,0.304,0.336,4tr9
 331,4j82_C_A-C_0,A,0.305,0.306,0.305,0.306,4j82
 332,4k3o_E_A-B-E_0,A,0.215,0.189,0.189,0.215,4k3o
 333,3nil_X_D-X_2,D,0.112,0.272,0.112,0.272,3nil
 334,1ghb_P_E-F-G-P_0,F,0.196,0.365,0.196,0.365,1ghb
 335,1ghb_P_E-F-G-P_0,G,0.125,0.292,0.125,0.292,1ghb
 336,1ghb_P_E-F-G-P_0,C,0.125,0.292,0.125,0.292,1ghb
 337,1ghb_P_E-F-G-P_0,B,0.196,0.365,0.196,0.365,1ghb
 338,2dze_X_A-B-X_0,A,0.178,0.279,0.178,0.279,2dze
 339,2dze_X_A-B-X_0,B,0.176,0.275,0.176,0.275,2dze
 340,3qhw_L_A-B-J-L_0,B,0.256,0.283,0.256,0.283,3qhw
 341,1b5j_B_A-B_0,A,0.320,0.217,0.217,0.320,1b5j
